date-time,headline,views,tags,
21/01/2002 - 10:35,Georgian Guerrillas Set an Ultimatum,1,,
21/01/2002 - 12:18,Two Wounded in Pankisi Gorge,1,,
21/01/2002 - 13:56,Georgian Troops not to Leave Kodori – President Says,1,,
21/01/2002 - 15:39,Fight Against Corruption is in Serious Phase – President States,1,,
21/01/2002 - 16:46,Shevardnadze Praises Operation in Pankisi,1,,
21/01/2002 - 17:21,"Parliament Sessions Weekly Review, Special Session. January 16-18, 2002",1,Parliament Weekly,
21/01/2002 - 18:29,Protesters Threaten to Put Mines at Peacekeepers Checkpoints,1,,
21/01/2002 - 19:35,Armenia Prolongs Supply of Electricity to Georgia,2,,
22/01/2002 - 09:55,Protests Widen Demanding Peacekeepers Withdrawal,1,,
22/01/2002 - 10:37,Georgian Officials Prepare to Tackle Pankisi Gorge Problem,1,,
22/01/2002 - 12:42,Insurance Company Sues Deputy General Prosecutor,6,,
22/01/2002 - 16:17,Russian Peacekeepers Blocked,1,,
22/01/2002 - 16:39,Dispatching Troops to Kodori is non-Constitutional – MP Says,1,,
22/01/2002 - 18:52,Other Regions Join Protests Against Russian Peacekeepers,1,,
22/01/2002 - 21:15,Vice-president of the Basketball Association Shot Dead,8,,
22/01/2002 - 21:19,Protesters Mine the Routes to Abkhazia,1,,
22/01/2002 - 21:35,Law Enforcers Accused of Spaniard Abduction,1,,
22/01/2002 - 21:24,Government Accused in Masterminding Enguri Protests,4,,
24/01/2002 - 12:05,Britain Promises Assistance to Georgia,1,,
24/01/2002 - 14:09,"Protesters Block the Central Avenue, Demand Electricity",1,,
24/01/2002 - 15:20,Gas Leak Claims More Lives,3,,
24/01/2002 - 14:39,,7,,
24/01/2002 - 15:40,GUUAM Representatives Meet in Tbilisi,1,,
24/01/2002 - 20:02,Abkhazian Government in Exile Criticizes UN Secretary General’s Position,0,,
25/01/2002 - 10:07,Vital Power Unit Restored,2,,
25/01/2002 - 12:34,The Parliament Discusses the 2002 Budget Today,1,,
25/01/2002 - 13:18,Wide Protests Demanding Peacekeepers’,0,,
25/01/2002 - 15:47,UN Secretary General is not Completely Precise – Shevardnadze Says,4,,
25/01/2002 - 18:38,Georgian MFA Spokesman Slams Russian Media Sources,3,,
25/01/2002 - 21:44,Parliament Appears Posed to Table the Budget 2002,4,,
25/01/2002 - 21:55,AES Board will Consider Pulling Out of Georgia,1,,
25/01/2002 - 21:51,Georgia Steers Away from Abkhazia Agreements?,1,,
25/01/2002 - 22:07,Dissident Orthodox Faction Assails Independent TV,2,,
25/01/2002 - 22:00,AES-Telasi Negotiates Continued Tax Holiday,2,,
26/01/2002 - 11:57,Security Officers Wounded Three Residents of Akhmeta,1,,
26/01/2002 - 12:50,Military Experts From Turkey Visit Georgia,6,,
26/01/2002 - 14:19,Turkish-Georgian Political Consultations in Ankara,1,,
26/01/2002 - 15:35,Draft on Rescheduling State Company Debts Sparks Controversy,7,,
27/01/2002 - 14:52,Parliamentary Chairperson Visits Azerbaijan,1,,
27/01/2002 - 16:41,Protests Continue Demanding Peacekeepers’ Withdrawal,0,,
28/01/2002 - 10:17,Reformers Demand to Revoke Abkhazian Agreements,1,,
28/01/2002 - 10:53,One Dies in a Car Accident Involving Russian Peacekeepers,0,,
28/01/2002 - 11:22,President Chooses Middle Way in Abkhazia,1,,
28/01/2002 - 15:23,Abkhazia Protesters Posed to Widen the Rallies,0,,
28/01/2002 - 15:57,Akhmeta Residents Demand Firmer Measures in Pankisi,1,,
28/01/2002 - 17:20,Shevardnadze Against Russian Peacekeepers’ Withdrawal,1,,
28/01/2002 - 15:01,President Calls for Budget Approval,0,,
29/01/2002 - 11:47,Past Agreements Pose an Obstacle?,0,,
29/01/2002 - 11:39,Russian National Security Council Chairman Visits Georgia,1,,
28/01/2002 - 20:40,CUG Supports Draft of 2002 Budget,1,,
29/01/2002 - 11:56,Turkey Assists Georgia in NATO Accession,5,,
29/01/2002 - 14:54,Akhmeta Residents Demand Chechen Refugees Repatriation,0,,
29/01/2002 - 19:14,Chechen Rebels are Funded via South Caucasus – Russian Prosecutor General Says,2,,
29/01/2002 - 15:52,CUG for Local Self-Governance Elections,0,,
29/01/2002 - 21:13,Javakheti Governor Resigns in Disgrace,1,,
31/01/2002 - 17:06,Officials Deny Bombardment of Kodori,2,,
29/01/2002 - 21:31,Citizens Union Moves Against the Governors,0,,
31/01/2002 - 18:33,Saakashvili Says Zhvania should Leave the CUG,1,,
01/02/2002 - 10:46,UNOMIG Mandate Extended,1,,
01/02/2002 - 11:08,UN Adopts Document on Georgian-Abkhazian Conflict,1,,
01/02/2002 - 11:27,"Russian, Georgian Security Bosses Pledge Mutual Understanding",2,,
01/02/2002 - 12:24,Russian Official Calls Georgia to Take Decision on Peacekeepers’ Mandate,0,,
01/02/2002 - 15:48,Georgia not Pulling Out Military Units from Kodori,1,,
01/02/2002 - 16:24,Deadline is Set for Making Decision on Peacekeepers’ Mandate,0,,
01/02/2002 - 17:02,Georgia Holds Consultations on Russian Military Bases,1,,
02/02/2002 - 11:56,Georgia Denies Chechens Fighters Are in Kodori,1,,
01/02/2002 - 17:43,1 million People Left Georgia Since 1989,1,,
02/02/2002 - 13:05,Russia Welcomes UN Resolution on Georgian-Abkhazian Conflict,1,,
02/02/2002 - 14:34,"Parliament Sessions Weekly Review, Special Session. January 30-February 1, 2002",4,Parliament Weekly,
03/02/2002 - 16:46,Georgia to Prolong CIS Peacekeepers’ Mandate,0,,
03/02/2002 - 18:40,Dissident Orthodox Faction Burns non-Orthodox Religious Books,2,,
03/02/2002 - 22:08,Russian Defense Minister Says Georgia Can’t Deal with Pankisi,0,,
04/02/2002 - 10:05,President Met Protesters Demanding Peacekeepers’ Withdrawal,0,,
04/02/2002 - 11:53,Shevardnadze: UN Resolution on Abkhazian Conflict is Historically Significant,1,,
04/02/2002 - 11:19,Friendly Argument,3,,
04/02/2002 - 12:22,President Criticizes MPs Having Voted Against Budget,1,,
04/02/2002 - 15:23,Criminals Abducted Law Enforcer’s Son,0,,
04/02/2002 - 19:12,"Peacekeepers’ Mandate Prolonged, Protesters Deplore",2,,
04/02/2002 - 18:46,Doubts Cast on Census Preliminary Results,1,,
04/02/2002 - 18:23,Georgia to Fulfill UN Recommendation Concerning Kodori Gorge,1,,
05/02/2002 - 10:20,Georgian-Russian Military Talks Made no Progress Concerning Gudauta Base,1,,
05/02/2002 - 12:23,Son of MIA High Official Released,2,,
05/02/2002 - 13:35,Storage of Removed Radiation Sources Kept in Secret,1,,
05/02/2002 - 15:33,Trial Against Radical Orthodox Activist,2,,
05/02/2002 - 16:26,Azeri Foreign minister and Georgian Envoy Signed Protocol on Gas Transit,1,,
05/02/2002 - 18:18,Russia to Prepare Plan on Chechen Refugees Repatriation from Georgia,2,,
05/02/2002 - 19:00,Russia Ready to Discuss Modification of Peacekeepers’ Mandate,0,,
06/02/2002 - 10:03,Sukhumi Refuses to Follow UN Recommendation,3,,
06/02/2002 - 14:22,Georgia Protests Against Russia’s Cooperation With Breakaway Abkhazia,0,,
06/02/2002 - 15:27,Shevardnadze Condemns Political Parties’ Activities in Universities,1,,
06/02/2002 - 15:04,OSCE High Commissioner on National Minorities Visits Georgia,2,,
06/02/2002 - 18:24,Interior Minister Restricts Police Rights,1,,
06/02/2002 - 18:43,Saakashvili and Zhvania to Visit USA,1,,
07/02/2002 - 10:03,Russian Delegation Visits Georgia for Talks on Chechen Refugees,2,,
08/02/2002 - 16:31,Adjarian Leader Meets Russian Foreign Minister,1,,
08/02/2002 - 17:43,Georgian and Russian Experts to Explore Radiation Sources in Georgia,2,,
09/02/2002 - 11:34,Abashidze Discussed New Ways of Abkhazian Settlement with Russian Officials,1,,
09/02/2002 - 12:25,Adjarian Leader Against CIS Peacekeepers’ Withdrawal,0,,
09/02/2002 - 13:24,Georgian Defense Minister and UN Observer Visited Kodori Gorge,1,,
09/02/2002 - 14:14,Abkhazian Conflict to Be Solved with Respect of Georgia’s Sovereignty – Russian MFA,0,,
09/02/2002 - 15:34,Two Foreigners Suspected in Terrorism Arrested,5,,
09/02/2002 - 17:32,Security Minister Says Chechen Fighters’ Bases are in Pankisi,0,,
09/02/2002 - 15:47,Governor Accused in Corruption,4,,
09/02/2002 - 18:13,UN Envoy and Georgian Authority Called Protesters to Dissolve,1,,
09/02/2002 - 16:05,Security Chief Concerned with Alarming Increase of Drug Dealings,1,,
11/02/2002 - 09:55,Governor Accused in Corruption Dismissed,2,,
10/02/2002 - 13:17,62 Resident Agents Uncovered in Georgia,3,,
11/02/2002 - 10:38,Armenian Foreign Minister in Georgia,1,,
11/02/2002 - 12:15,State Minister and UN Envoy Hold Negotiations in Sukhumi,1,,
11/02/2002 - 14:39,Shevardnadze Claims there is a Progress in Fight Against Corruption,1,,
11/02/2002 - 15:41,Commission Formed to Work Over Abkhazian Problem,1,,
11/02/2002 - 18:07,Armenian-Georgian Relations Guarantee of Stability – Armenian Official,1,,
11/02/2002 - 16:09,Law on Local Self-Governance Elections – Priority for the Parliament,1,,
12/02/2002 - 10:36,Georgian-German Political Consultations in Tbilisi,2,,
12/02/2002 - 10:07,Parliament Postpones Discussion of Abkhazian Issue,1,,
12/02/2002 - 14:52,Georgian Intelligence Denies US Envoys’ Statement on Afghan Terrorists in Pankisi,1,,
12/02/2002 - 12:57,Russian Military Officials Discussed Peacekeepers’ Issue in Tbilisi,0,,
12/02/2002 - 17:17,"Armenia, Georgia Agreed on Postponement of Debt Payment",1,,
12/02/2002 - 16:14,Draft,0,,
13/02/2002 - 10:20,Armenia Hopes to Be Involved in Regional Projects,1,,
12/02/2002 - 16:58,Russia Calls Georgia for Combating Terrorism,1,,
13/02/2002 - 17:29,Burjanadze Says Security Guarantees Needed for Refugees’ Repatriation,1,,
13/02/2002 - 14:31,Chechen Rebels Against Chechen Refugees’ Repatriation,1,,
13/02/2002 - 15:23,IDPs Demand from the Parliament to Discuss Abkhazian Issue,1,,
13/02/2002 - 16:40,Education Minister Against Reformers’ Activity,1,,
13/02/2002 - 18:26,Kist Population Demand Transparency in Pankisi Gorge,6,,
13/02/2002 - 19:29,President Appoints New Governor,3,,
14/02/2002 - 14:03,Religious Organizations Call to Curb Excommunicated Priest’s Extremism,1,,
14/02/2002 - 10:35,Georgian Foreign Minister Visits Moscow on Framework Agreement,1,,
14/02/2002 - 09:56,Russian Experts Visit Georgia on Chechen Refugees Repatriation,2,,
14/02/2002 - 12:18,President Sacks Heads of Provincial Districts,1,,
14/02/2002 - 16:44,Russian Military Official Visits Breakaway Abkhazia,1,,
14/02/2002 - 18:15,Russian Delegation on Chechen Refugees Meet Georgian Officials,2,,
16/02/2002 - 16:44,Two Suspects in Terrorism Deported,5,,
16/02/2002 - 17:52,Internal Affairs Minister Initiates Fundamental Staff Revision,1,,
17/02/2002 - 14:02,Georgian-Russian Talks on Border Delimitation,6,,
16/02/2002 - 18:05,"Parliament Sessions Weekly Review. February 12-15, 2002",2,Parliament Weekly,
18/02/2002 - 09:54,Four Policemen Abducted in Pankisi,2,,
18/02/2002 - 11:23,Additional Forces of Internal Troops Dispatched to Pankisi,1,,
18/02/2002 - 16:07,Shevardnadze Jokes on Russian Foreign Minister’s Statement on Bin-Laden,9,,
18/02/2002 - 13:59,Real Fight Against Corruption Started – President Says,1,,
18/02/2002 - 15:25,President Rules Out Georgian-Russian Joint Operations in Pankisi,2,,
18/02/2002 - 19:02,Criminals Strike Back,1,,
18/02/2002 - 16:15,Border Guards will Replace Troops in Kodori gorge,1,,
19/02/2002 - 09:56,Georgia Denies Talks are Held with Russia on Joint Operation in Pankisi,1,,
18/02/2002 - 20:07,No Deal with Criminals – Internal Affairs Minister Says,1,,
19/02/2002 - 12:11,Zhvania Says Russia Uses Pankisi to Mount Pressure on Georgia,2,,
19/02/2002 - 10:58,Georgian Defense Minister Visits Ukraine,1,,
19/02/2002 - 10:34,Russia Continues Supposing Bin-Laden’s Possible Presence in Pankisi,0,,
19/02/2002 - 12:28,Gunshot Towards ,1,,
19/02/2002 - 12:55,Nino Burjanadze Participates in OSCE Parliamentary Assembly,1,,
19/02/2002 - 14:32,Georgia Claims It Can Deal with Pankisi Problem Independently,2,,
19/02/2002 - 18:55,Parliamentary Committee Chairman Slams the Draft Law on Grants,2,,
19/02/2002 - 17:05,Reformers Satisfied With Visit to the USA,3,,
20/02/2002 - 10:56,Abkhaz Say Chechen Warlord Moved to Abkhazia,4,,
20/02/2002 - 11:38,Security Council Secretary Denies Accusation in a Conspiracy Against Abashidze,4,,
20/02/2002 - 09:57,,2,,
20/02/2002 - 12:17,Joint Georgian-Abkhazian Military Observation of Kodori Postponed,2,,
20/02/2002 - 13:58,Part of Georgian Troops Left Kodori Gorge,3,,
20/02/2002 - 16:37,Abducted Policemen Released,2,,
20/02/2002 - 16:54,Georgia and Turkey Signed Plan of Military Cooperation for 2002,4,,
20/02/2002 - 17:30,Georgian Security Minister to Visit USA and UK,2,,
21/02/2002 - 09:56,Law Enforcers Have a Special Plan of Operation in Pankisi,2,,
20/02/2002 - 18:13,"USA, Russia Negotiate on Joint Military Operation in Pankisi?",2,,
20/02/2002 - 16:38,Georgian Security Minister to Visit USA and UK,2,,
21/02/2002 - 11:45,,4,,
21/02/2002 - 12:21,Law Enforcers Have a Special Plan of Operation in Pankisi,2,,
21/02/2002 - 12:32,Russian Military Official Calls for Joint Operation in Pankisi,2,,
23/02/2002 - 11:53,USA to Render Military Assistance to Georgia – US Envoy to Russia Says,1,,
21/02/2002 - 13:11,Parliamentary Committee Discussed Situation in Samtskhe-Javakheti Region,2,,
22/02/2002 - 18:28,Georgian Foreign Ministry Rules Out Military Operation in Pankisi,4,,
23/02/2002 - 13:33,US Experts to Train Georgian Antiterrorist Unit,1,,
23/02/2002 - 13:35,US Experts to Train Georgian Antiterrorist Unit,1,,
23/02/2002 - 11:56,USA to Render Military Assistance to Georgia – US Envoy to Russia Says,2,,
23/02/2002 - 15:28,USA Sends Troops to Georgia?,1,,
23/02/2002 - 17:12,Opposition Goes International,2,,
23/02/2002 - 15:29,USA Sends Troops to Georgia?,2,,
23/02/2002 - 18:23,Abducted Ethnic Azeri Killed in Pankisi – Azerbaijani TV Reports,1,,
23/02/2002 - 18:26,Abducted Ethnic Azeri Killed in Pankisi – Azerbaijani TV Reports,1,,
24/02/2002 - 14:30,Law Enforcers Deny Reports that Hostage is Killed in Pankisi,1,,
25/02/2002 - 10:28,Georgian Security Chief Excludes Joint Military Operations in Pankisi,1,,
24/02/2002 - 14:32,Law Enforcers Deny Reports that Hostage is Killed in Pankisi,0,,
25/02/2002 - 10:29,Georgian Security Chief Excludes Joint Military Operations in Pankisi,0,,
25/02/2002 - 11:39,Shevardnadze not to Raise Peacekeepers’ Issue at CIS Summit,0,,
25/02/2002 - 11:56,Georgia Negotiates on Antiterrorism Activity With the USA,1,,
25/02/2002 - 11:55,Georgia Negotiates With the USA on Antiterrorism Activity,1,,
25/02/2002 - 15:06,National Security Council Secretary Dead,2,,
25/02/2002 - 13:15,,3,,
25/02/2002 - 14:31,Chances of Survival of Sajaia Close to Zero,3,,
25/02/2002 - 15:39,Profile,1,,
25/02/2002 - 16:37,Suicide – the Main Version of Sajaia’s Death,1,,
25/02/2002 - 17:00,Khadori Hydroelectric Power Station Bombed in Pankisi,9,,
25/02/2002 - 15:13,,3,,
25/02/2002 - 17:40,Code,1,,
25/02/2002 - 17:02,Khadori Hydroelectric Power Station Bombed in Pankisi,3,,
25/02/2002 - 19:15,Visit of Ukrainian Security Council Secretary Postponed,1,,
25/02/2002 - 18:13,Special Meeting of Law Enforcers and President Held Concerning Sajaia’s Death,0,,
25/02/2002 - 20:11,President will not Participate in CIS Summit,1,,
25/02/2002 - 20:03,,3,,
26/02/2002 - 12:31,Parliamentary Chairperson Visits Turkey,4,,
26/02/2002 - 12:54,MP Talks on Former Internal Affairs Minister’s Possible Role in Sajaia’s Death,0,,
26/02/2002 - 10:12,,0,,
27/02/2002 - 14:50,Georgia Denies it Dispatches Terrorists from Pankisi to Abkhazia,2,,
26/02/2002 - 14:21,Georgian-Russian Defense Ministries Cooperation on Pankisi not on the Agenda,1,,
26/02/2002 - 14:00,Georgian Authorities Deny Reports on Detention of Afghans,0,,
26/02/2002 - 13:14,"Georgian, Abkhazian Sides to Discuss Joint Monitoring of Kodori",1,,
27/02/2002 - 14:54,Georgia Denies it Dispatches Terrorists from Pankisi to Abkhazia,1,,
26/02/2002 - 13:57,Georgian Authorities Deny Reports on Detention of Afghans,1,,
27/02/2002 - 15:44,,1,,
27/02/2002 - 15:45,,0,,
27/02/2002 - 16:29,Military Advisors Headed to Georgia to Promote Anti-terrorism Training ,1,,
27/02/2002 - 16:46,Russia Against US Military Presence in Georgia,2,,
27/02/2002 - 16:44,,4,,
27/02/2002 - 16:32,,1,,
27/02/2002 - 16:44,Russia Against US Military Presence in Georgia,1,,
27/02/2002 - 17:31,Georgian Defense Minister Denies Reports on US Troops Dispatching to Georgia,1,,
27/02/2002 - 17:32,Georgian Defense Minister Denies Reports on US Troops Dispatching to Georgia,1,,
27/02/2002 - 18:08,US Military Experts Assisting Georgia to Secure its Territorial Integrity,1,,
27/02/2002 - 18:34,US Troops in Georgia?,11,,
27/02/2002 - 18:57,US Military Experts Assisting Georgia to Secure its Territorial Integrity,1,,
28/02/2002 - 10:25,,1,,
28/02/2002 - 10:24,,1,,
28/02/2002 - 10:46,,1,,
28/02/2002 - 11:46,USA Assists Georgia in Anti-Terror War Without Sending Troops,1,,
28/02/2002 - 11:50,Shevardnadze at the CIS Summit,5,,
28/02/2002 - 12:16,Georgian Ex-Diplomat Released,16,,
28/02/2002 - 10:47,,0,,
28/02/2002 - 12:29,Georgian Parliament Slams Russian Officials Statements Concerning Abkhazia,2,,
28/02/2002 - 14:15,Georgia not to Agree on Russia’s Operation in Pankisi – Georgian MFA Says,0,,
28/02/2002 - 13:56,USA Assists Georgia in Anti-Terror War Without Sending Troops,1,,
28/02/2002 - 14:22,Georgia not to Agree on Russia’s Operation in Pankisi – Georgian MFA Says,0,,
28/02/2002 - 15:05,Anti-terror war turns focus on criminal cottage industry ,2,,
28/02/2002 - 15:13,Russia Denies Deal with the US on Caucasus Region,1,,
28/02/2002 - 16:06,Afghan Fighters Infiltrate Europe via Abkhazia – Georgian Security Chief Says,2,,
28/02/2002 - 16:24,Russian unease as US war on terror shifts to Caucasus ,1,,
28/02/2002 - 15:16,Russia Denies Deal with the US on Caucasus Region,1,,
28/02/2002 - 15:52,Russian Duma Committee to Discuss Possibility of Recognizing Sovereignty of Abkhazia,1,,
28/02/2002 - 16:26,"In Caucasus Gorge, a Haven for Muslim Militants ",1,,
28/02/2002 - 17:28,,2,,
28/02/2002 - 21:00,Американский спецназ подарит Абхазию России ,6,,
28/02/2002 - 17:29,,2,,
28/02/2002 - 21:16,Shevardnadze says Russian Statements on Abkhazia “Stupid”,6,,
01/03/2002 - 14:41,Georgia: Pankisi Conundrum ,1,,
01/03/2002 - 14:13,US Military Experts to Arrive in Georgia in March,0,,
01/03/2002 - 15:15,,1,,
01/03/2002 - 15:17,,1,,
01/03/2002 - 15:39,Путин не пустил американцев в Грузию ,2,,
01/03/2002 - 18:11,Shevardnadze Meets Russian President,0,,
01/03/2002 - 23:03,National TV Reports Airspace Violations,0,,
02/03/2002 - 12:06,Georgia Condemns Elections in Abkhazia,0,,
02/03/2002 - 12:32,Georgian Defense Ministry Confirms Airspace Violation,1,,
02/03/2002 - 12:42,Russia to Hasten Chechen Refugees’ Repatriation from Pankisi,0,,
02/03/2002 - 13:00,Russia to Hasten Chechen Refugees’ Repatriation from Pankisi,1,,
02/03/2002 - 13:32,"US, Russian Defense Chiefs Talked on Pankisi",0,,
02/03/2002 - 13:35,"US, Russian Defense Chiefs Talked on Pankisi",0,,
02/03/2002 - 15:11,Georgia Finally Gets U.S. Attention ,1,,
02/03/2002 - 15:00,Putin Backs U.S. on Georgia Effort ,0,,
02/03/2002 - 15:20,Georgia Plunged Into Security Crisis ,0,,
02/03/2002 - 15:27,"U.S. to Train 1,200 Georgian Soldiers In Terror Battle ",1,,
02/03/2002 - 15:23,The War Expands ,0,,
02/03/2002 - 17:45,The USA to Increase Military Aid to Georgia,0,,
02/03/2002 - 18:16,Russian Security Chief Attended Sajaia’s Funeral,1,,
02/03/2002 - 17:46,The USA to Increase Military Aid to Georgia,0,,
04/03/2002 - 06:00,U.S.-Georgia alliance more than it seems,0,,
02/03/2002 - 18:24,"Denmark, Georgia to Activate Military Cooperation",0,,
04/03/2002 - 10:33,Shevardnadze and Russian Security Chief Discussed Security Cooperation,0,,
04/03/2002 - 11:53,USA Made the Most of All for Georgia’s Independence – Shevardnadze Says,1,,
04/03/2002 - 12:54,Shevardnadze Reaches Out to Russia ,0,,
04/03/2002 - 12:55,US and Georgian Officials Move to Next Phase of Military Development ,0,,
04/03/2002 - 12:58,"Criminal Activity, not Terrorism, Main Source of Pankisi Instability – Opinion Poll ",1,,
04/03/2002 - 13:32,Shevardnadze Confirms US Military Instructors are in Georgia,4,,
04/03/2002 - 13:44,Путин отдал Абхазию Грузии ,8,,
04/03/2002 - 14:37,Russian Security Service to Check Repatriated Chechen Refugees,0,,
04/03/2002 - 14:56,Russian Security Service to Check Repatriated Chechen Refugees,1,,
04/03/2002 - 14:54,Shevardnadze Confirms US Military Instructors are in Georgia,0,,
04/03/2002 - 13:45,В Грузии спецназ США будет импровизировать ,0,,
04/03/2002 - 16:26,Tax Revenue Minister Says Budget Fulfilled in February,1,,
04/03/2002 - 17:01,Breakaway Abkhazia Talks on Georgia’s Readiness for War,0,,
04/03/2002 - 16:45,No Need in Prime Minister – Shevardnadze Says,0,,
05/03/2002 - 13:06,US Military Experts Work Over the Assessment Report on Georgia,0,,
05/03/2002 - 14:13,US Military Experts Work Over the Assessment Report on Georgia,0,,
05/03/2002 - 16:09,CoE Condemns Elections in Breakaway Abkhazia,2,,
05/03/2002 - 16:39,Gas Supply Ceased to Tbilisi,3,,
05/03/2002 - 17:30,Russian Duma Committees Discuss Situation in Georgia,1,,
05/03/2002 - 15:25,Security Cooperation Revisited,0,,
05/03/2002 - 18:12,OSCE Supports US-Georgian Military Cooperation,2,,
06/03/2002 - 10:15,Shevardnadze Wants Georgian Envoy to the USA on the Post of Security Council Secretary,3,,
06/03/2002 - 10:40,Georgia Claims Russian Military Base Involved in Arms Dealing,1,,
06/03/2002 - 11:25,New Deputy State Minister Appointed,1,,
06/03/2002 - 11:06,World Bank Representative Arrives in Georgia,3,,
06/03/2002 - 10:40,Georgia Claims Russian Military Base Involved in Arms Dealing,0,,
06/03/2002 - 13:25,Abkhaz President Fears Georgia will Use US Military Assistance Against Abkhazia,1,,
06/03/2002 - 11:50,Военные ожидают прорыва боевиков из Грузии ,0,,
06/03/2002 - 15:57,"USA, Georgia Agreed on Debt Rescheduling",2,,
06/03/2002 - 18:21,Abkhazian Government in Exile Says Al Qaeda Fighters are in Abkhazia,1,,
07/03/2002 - 10:31,,1,,
07/03/2002 - 11:10,Delegation of Turkish General Staff Visits Georgia,1,,
07/03/2002 - 11:38,CUG Offers New Draft on Local Self-Governance Elections,1,,
06/03/2002 - 16:46,Russian Duma Adopts Statement on Georgia,1,,
07/03/2002 - 14:17,"Abkhazia Elections: No Opposition, No Recognition",4,,
07/03/2002 - 15:32,Chechen Rebels Leaving Pankisi Gorge ,4,,
07/03/2002 - 15:33,World Bank Confirms Intention to Reduce Financial Aid to Georgia,3,,
07/03/2002 - 15:59,Georgia Says Al Qaeda in Its Rebel Abkhazia Zone ,3,,
07/03/2002 - 15:48,Ирак будут бомбить с аэродромов Грузии ,4,,
07/03/2002 - 15:55,Georgian-Abkhazian Talks on Kodori Failed,1,,
07/03/2002 - 15:51,Россия должеа аплодировать Амерканцам ,2,,
07/03/2002 - 15:56,Georgia Won’t Allow Its Airfields to Be Used for Attack on Iraq ,0,,
07/03/2002 - 17:59,Brzezinski Says Russia Should Welcome US-Georgia Military Cooperation,3,,
07/03/2002 - 18:47,Chairman of Anti-Corruption Council Visits the USA,1,,
08/03/2002 - 09:56,,1,,
08/03/2002 - 09:55,,2,,
08/03/2002 - 10:06,No Decision on Deployment of US Military Base in Georgia – Shevardnadze States,1,,
08/03/2002 - 10:27,"US Trained Georgian Troops will not Be Used in Abkhazia, South Ossetia",1,,
10/03/2002 - 14:59,Georgia’s Military Counting on U.S. ,0,,
09/03/2002 - 18:17,Georgian Troops Preparing for US Training,1,,
08/03/2002 - 11:26,Georgia Condemns Russian Duma Statement,1,,
10/03/2002 - 15:03,"War on Terrorism: The Next Battleground: Republic of Georgia: US welcomed, but few terrorists seen ",2,,
10/03/2002 - 15:05,U.S. asking for trouble if it gets entangled in Georgia briar patch ,1,,
11/03/2002 - 11:57,Shevardnadze Hopes CUG not to Become Opposition Party,1,,
11/03/2002 - 11:19,Fashion Show in Pankisi,3,,
11/03/2002 - 10:58,Fashion Show in Pankisi,22,,
11/03/2002 - 12:54,Georgia Denies USA Restores the Military Airfields,4,,
11/03/2002 - 13:50,USA Assists Georgia with Mine-Clearing Equipment,1,,
11/03/2002 - 14:07,Shevardnadze Hopes the World Bank will not Reduce Assistance,1,,
11/03/2002 - 14:17,Georgia Models and Machine Guns Mix ,1,,
11/03/2002 - 14:21,President Praises Georgian-Russian Draft Framework Agreement,1,,
11/03/2002 - 14:50,Integration with the EU – Main Objective of Georgia’s Foreign Policy,0,,
11/03/2002 - 17:18,Russia Concerned With US Plans in Georgia – Russian Defense Minister,1,,
11/03/2002 - 17:19,Russia Concerned With US Plans in Georgia – Russian Defense Minister,1,,
11/03/2002 - 18:33,State Chancellery Insists on Postponing Local Elections,1,,
12/03/2002 - 08:32,Guerrilla Chic: Fashion Hits Lawless Georgia Gorge ,1,,
12/03/2002 - 10:58,,2,,
12/03/2002 - 11:00,,2,,
12/03/2002 - 12:14,Kidnapped Russian Citizen Released in Pankisi,1,,
12/03/2002 - 12:20,Kidnapped Russian Citizen Released in Pankisi,1,,
12/03/2002 - 11:30,,0,,
12/03/2002 - 12:44,Saakashvili Says Interior Ministry Still Under Ex-Minister’s Control,2,,
12/03/2002 - 13:03,Reformers Say Parliamentary Chairperson Blocks Anticorruption Bill,2,,
12/03/2002 - 14:55,Fashion Elite Glides Into Pankisi Gorge ,2,,
12/03/2002 - 15:34,Russian Defense Minister to Discuss Situation in Pankisi with US Officials,1,,
12/03/2002 - 15:36,Russian Defense Minister to Discuss Situation in Pankisi with US Officials,1,,
12/03/2002 - 18:09,US President Talks About Georgia Operation Details,2,,
12/03/2002 - 16:27,Fashion show held in Pankisi peaceful ,3,,
12/03/2002 - 17:25,The Parliament to Discuss Anticorruption Bill,2,,
13/03/2002 - 09:59,Turkish Justice Minister Visits Georgia,2,,
13/03/2002 - 10:34,Situation in Kodori Concerns Russia,1,,
13/03/2002 - 11:24,"US President, Russian Minister Discussed Situation in Georgia",1,,
13/03/2002 - 11:24,"US President, Russian Minister Discussed Situation in Georgia",1,,
13/03/2002 - 12:19,Georgian Official Excludes Russia’s Involvement in Pankisi Operation,0,,
13/03/2002 - 12:30,Four Afghans Detained in Georgia,1,,
13/03/2002 - 12:19,Georgian Official Excludes Russia’s Involvement in Pankisi Operation,0,,
13/03/2002 - 12:28,Four Afghans Detained in Georgia,1,,
13/03/2002 - 13:17,Four Parliamentary Factions Boycott Session,2,,
14/03/2002 - 14:06,Al-Qaeda terrorists planning more attacks: Russia ,1,,
14/03/2002 - 14:08,Slave Freed After 13-Year Ordeal ,1,,
14/03/2002 - 14:10,Russia won’t ignore terrorists in Georgia ,0,,
14/03/2002 - 14:11,Russian Official Insists Terrorists Are in Georgia ,1,,
14/03/2002 - 15:16,Abkhazian Official in Exile Dissatisfied with Parliamentary Discussion of Abkhazian Issue,2,,
